"","Index_Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","EGOM","1990-2005","(Intercept)",-20.9054729238227,9.75205512522384,-2.14369921574278,0.0501013005768024,-41.8215509362434,0.0106050885979521
"2","EGOM","1990-2005","Year",0.0127820034859142,0.00488211722480589,2.61812711521329,0.0202497291275391,0.00231090345329627,0.023253103518532
"3","EGOM","2006-2023","(Intercept)",25.2412164473139,11.6372655625812,2.16899892088698,0.045495088124881,0.571315512752918,49.9111173818749
"4","EGOM","2006-2023","Year",-0.0100297110668197,0.00577673217664403,-1.73622573457204,0.101736160036846,-0.0222758362202693,0.00221641408662989
"5","BOF","1990-2005","(Intercept)",-14.1392821310331,8.57969940075367,-1.64799271752937,0.121605744402773,-32.540907192106,4.26234293003968
"6","BOF","1990-2005","Year",0.00947087328150701,0.00429520728607601,2.20498631398052,0.044680605806223,0.000258569872483632,0.0186831766905304
"7","BOF","2006-2023","(Intercept)",-1.71313992078571,9.03573614941364,-0.189596054207148,0.852010039157547,-20.8680448662927,17.4417650247213
"8","BOF","2006-2023","Year",0.00339742599488075,0.00448533441754728,0.757452104705843,0.459789741152068,-0.00611105820565722,0.0129059101954187
"9","CapeBreton","1990-2005","(Intercept)",-33.2679879820132,7.99656071704055,-4.16028704829561,0.000962091304535661,-50.4189049570483,-16.1170710069782
"10","CapeBreton","1990-2005","Year",0.0188296585404881,0.00400327380378438,4.70356499789948,0.000338897767407406,0.0102434901780413,0.0274158269029349
"11","CapeBreton","2006-2023","(Intercept)",-49.0026516191782,11.5053866395459,-4.25910516129446,0.00059968561051749,-73.3929817259409,-24.6123215124154
"12","CapeBreton","2006-2023","Year",0.0268266509528868,0.00571126755232806,4.69714484693534,0.000242262773474942,0.0147193046034361,0.0389339973023374
"13","HaliChan","1990-2005","(Intercept)",33.1493315534597,10.5171692440379,3.15192527421311,0.00706455142795504,10.5922469642687,55.7064161426506
"14","HaliChan","1990-2005","Year",-0.0143408639115918,0.00526515205904739,-2.72373214500978,0.0164725063533714,-0.0256334919576997,-0.00304823586548393
"15","HaliChan","2006-2023","(Intercept)",-84.7790611410633,9.41033017173336,-9.00914841391237,1.14924519778578e-07,-104.728069939542,-64.8300523425841
"16","HaliChan","2006-2023","Year",0.0445790576803911,0.00467128268265097,9.54321558101305,5.24341165655716e-08,0.0346763807672789,0.0544817345935034
"17","CapeCod","1990-2005","(Intercept)",17.0852950747797,11.0032963669485,1.55274333299794,0.142792854696596,-6.51442849626573,40.6850186458251
"18","CapeCod","1990-2005","Year",-0.0065938812517396,0.00550851918215446,-1.19703336481087,0.251170426129216,-0.0184084798637644,0.00522071736028515
"19","CapeCod","2006-2023","(Intercept)",-14.3848779116552,11.8980426740107,-1.20901212962334,0.244221709993453,-39.6076016266511,10.8378458033408
"20","CapeCod","2006-2023","Year",0.00934866691689717,0.00590618179025179,1.58286135593172,0.133016939712659,-0.00317187915842168,0.021869212992216
"21","Browns","1990-2005","(Intercept)",5.17468042063982,9.88157385722203,0.523669659854625,0.608698746905025,-16.0191876440066,26.3685484852862
"22","Browns","1990-2005","Year",7.74110792352999e-05,0.00494695746866258,0.0156482200879378,0.987735853948306,-0.0105327574452478,0.0106875796037184
"23","Browns","2006-2023","(Intercept)",4.26849462256336,7.23539156870461,0.589946595430434,0.563465950238599,-11.0698503058743,19.6068395510011
"24","Browns","2006-2023","Year",0.000685993589535896,0.00359164436531806,0.190997080935976,0.850930447654186,-0.00692795233342002,0.00829993951249182
"25","Gully","1990-2005","(Intercept)",18.2620879345707,14.0668198885187,1.2982385556437,0.215185520053642,-11.9082401036617,48.432415972803
"26","Gully","1990-2005","Year",-0.00648645373466403,0.00704219395749192,-0.921084220885928,0.372606621831143,-0.0215904575884279,0.00861755011909983
"27","Gully","2006-2023","(Intercept)",-24.5678629182601,8.28890028750184,-2.963947214482,0.00914122405359865,-42.1395465624518,-6.99617927406836
"28","Gully","2006-2023","Year",0.0149950791383213,0.00411460550954248,3.64435402216449,0.00218461740355177,0.00627250511443725,0.0237176531622054
"29","GrandBanks","1990-2005","(Intercept)",45.1004843880274,13.3183277425455,3.38634738984186,0.00443162874190738,16.5355123404894,73.6654564355654
"30","GrandBanks","1990-2005","Year",-0.0202836953447356,0.00666748048924705,-3.04218293213576,0.00878500994580503,-0.0345840187400243,-0.00598337194944683
"31","GrandBanks","2006-2023","(Intercept)",-129.917360874672,27.3536532459179,-4.7495433135265,0.000217626919848411,-187.904515343754,-71.9302064055897
"32","GrandBanks","2006-2023","Year",0.0670160604694414,0.0135783383136449,4.93551264679396,0.000149080332840084,0.0382312691237266,0.0958008518151562
"33","Nantucket","1990-2005","(Intercept)",78.6722603319413,10.2844075904062,7.64966378863969,2.29727875153543e-06,56.6143998389173,100.730120824965
"34","Nantucket","1990-2005","Year",-0.0374643442712702,0.0051486258844229,-7.27657147990069,4.05365267319733e-06,-0.0485070485292494,-0.0264216400132909
"35","Nantucket","2006-2023","(Intercept)",-38.15620286541,6.75204799401656,-5.65105622756574,3.61120626584046e-05,-52.469905188522,-23.8425005422981
"36","Nantucket","2006-2023","Year",0.0209697621138586,0.00335171288268072,6.25643151661812,1.1459049098769e-05,0.0138644482123956,0.0280750760153216
"37","Georges","1990-2005","(Intercept)",50.9706315926105,14.2040904281529,3.58844741593487,0.0029656969486525,20.5058875283274,81.4353756568935
"38","Georges","1990-2005","Year",-0.0234699406013751,0.00711091494577602,-3.30055144525621,0.00525651481728653,-0.0387213363159912,-0.00821854488675889
"39","Georges","2006-2023","(Intercept)",-2.56422185447031,7.23852434829348,-0.354246491562171,0.72777962684135,-17.9092079789597,12.7807642700191
"40","Georges","2006-2023","Year",0.00340244743989763,0.00359319947536999,0.946913040375328,0.357765879271303,-0.00421479516909824,0.0110196900488935
"41","Sable","1990-2005","(Intercept)",24.4292538680317,10.2894062567492,2.37421414398987,0.03242976286919,2.36067230197792,46.4978354340855
"42","Sable","1990-2005","Year",-0.00957578758826524,0.00515112833900718,-1.85896894001885,0.0841781218983326,-0.020623859077524,0.0014722839009935
"43","Sable","2006-2023","(Intercept)",-13.9237173125621,7.34983613989155,-1.8944255419506,0.0763895348824423,-29.5046738939261,1.65723926880186
"44","Sable","2006-2023","Year",0.00967642848370373,0.00364845458703746,2.65219924021611,0.017390989318627,0.00194205027067492,0.0174108066967325
"45","GBTail","1990-2005","(Intercept)",12.4584025404644,13.983282693023,0.89094977295142,0.388011627472678,-17.5327560329228,42.4495611138515
"46","GBTail","1990-2005","Year",-0.00419851758375173,0.00700037319501624,-0.599756251101124,0.558251516717282,-0.0192128248228792,0.0108157896553757
"47","GBTail","2006-2023","(Intercept)",-108.388459722598,30.9855751107723,-3.49802962620874,0.00297590668025842,-174.074944599342,-42.7019748458534
"48","GBTail","2006-2023","Year",0.0561455928523155,0.015381222314782,3.65026860045818,0.00215749254608575,0.0235388581587088,0.0887523275459221
