"Region","Period","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Indicator","OrdIndicator"
"Canada","Before Warming","scale(log10(Total_Abundance))",-0.458869940067472,0.237462535105536,-1.93238878656599,0.0738025846952015,-0.968176424241041,0.0504365441060965,"AOvsAbd","AOvsAbd"
"Canada","Before Warming","scale(Year)",-0.568763971663658,0.219822581794855,-2.58737736141433,0.0214988325365574,-1.04023651880099,-0.0972914245263299,"Dist to Border","Dist to Border"
"Canada","Before Warming","scale(Year)",-0.440335395916654,0.239956058343862,-1.83506679912888,0.087828538720036,-0.954989955537798,0.0743191637044894,"Deepening","Deepening"
"Canada","Before Warming","scale(Year)",-0.409350212624035,0.243843099938209,-1.6787442938831,0.115373115390655,-0.932341647312117,0.113641222064047,"COG_East","COG_East"
"Canada","Before Warming","scale(Year)",-0.281083762512905,0.256486134191025,-1.095902370705,0.291616050402224,-0.831191808761314,0.269024283735505,"Abundance","Abundance"
"Canada","Before Warming","scale(Year)",-0.128812392557283,0.265034683380398,-0.48602088947129,0.63447141989381,-0.69725525330807,0.439630468193505,"Leading Edge E","Leading Edge E"
"Canada","Before Warming","scale(Year)",0.20909094835379,0.261353752510232,0.800030404559064,0.437058563879341,-0.351457100867519,0.7696389975751,"COG_North","COG_North"
"Canada","Before Warming","scale(Year)",0.264668270596233,0.257730577283942,1.02691839433801,0.321875732183637,-0.288108840631737,0.817445381824204,"Leading Edge N","Leading Edge N"
"Canada","Before Warming","scale(Year)",0.362310095361976,0.249102875305823,1.45445970833203,0.167870379989441,-0.171962435516001,0.896582626239953,"Area Occupied","Area Occupied"
"Canada","During Warming","scale(log10(Total_Abundance))",0.749884255480292,0.16539226164311,4.5339742502489,0.000338894679459128,0.399268323572874,1.10050018738771,"AOvsAbd","AOvsAbd"
"Canada","During Warming","scale(Year)",-0.375426191165259,0.231713073512689,-1.62022015190568,0.12472387280997,-0.866635963603652,0.115783581273133,"Deepening","Deepening"
"Canada","During Warming","scale(Year)",0.369247432079282,0.232332780444191,1.58930406365098,0.131554206475723,-0.123276060367165,0.86177092452573,"Leading Edge N","Leading Edge N"
"Canada","During Warming","scale(Year)",0.576590319954508,0.204258354011341,2.82284816572297,0.0122497380705193,0.143581952875655,1.00959868703336,"Leading Edge E","Leading Edge E"
"Canada","During Warming","scale(Year)",0.812534924121253,0.145728128093736,5.57569039518993,4.180203185692e-05,0.503605093129748,1.12146475511276,"Area Occupied","Area Occupied"
"Canada","During Warming","scale(Year)",0.887301752232986,0.115297333144644,7.69576995436516,9.13651425962885e-07,0.642882324713575,1.1317211797524,"Abundance","Abundance"
"Canada","During Warming","scale(Year)",0.893008403353079,0.112509997206022,7.93714714718066,6.14204972883682e-07,0.654497864060666,1.13151894264549,"Dist to Border","Dist to Border"
"Canada","During Warming","scale(Year)",0.934369367741996,0.089076471579699,10.4895192992236,1.40701891142627e-08,0.74553568360426,1.12320305187973,"COG_East","COG_East"
"Canada","During Warming","scale(Year)",0.941120726669436,0.08451766747003,11.1351952182443,6.03264182611753e-09,0.7619512755219,1.12029017781697,"COG_North","COG_North"
"USA","Before Warming","scale(log10(Total_Abundance))",-0.129352543715002,0.265015891630572,-0.488093536274865,0.633039275472139,-0.69775510017092,0.439050012740916,"AOvsAbd","AOvsAbd"
"USA","Before Warming","scale(Year)",-0.950659731947753,0.0829139287165682,-11.4656215989653,1.674686034768e-08,-1.12849242250201,-0.772827041393492,"Area Occupied","Area Occupied"
"USA","Before Warming","scale(Year)",0.00112925571286288,0.267261071504135,0.00422529067367527,0.996688333733577,-0.572088732647854,0.574347244073579,"Abundance","Abundance"
"USA","Before Warming","scale(Year)",0.0433860915637268,0.267009583436735,0.162488892740461,0.873242853720414,-0.529292508537861,0.616064691665315,"Trailing Edge E","Trailing Edge E"
"USA","Before Warming","scale(Year)",0.179965332271206,0.262897655151815,0.684545216530296,0.50480631700195,-0.383894058783211,0.743824723325624,"Dist to Border","Dist to Border"
"USA","Before Warming","scale(Year)",0.506002353977163,0.230521399342814,2.19503419387401,0.0455219186136922,0.0115831253865105,1.00042158256782,"Deepening","Deepening"
"USA","Before Warming","scale(Year)",0.575223741635528,0.218618658048802,2.63117405792109,0.0197411941481687,0.106333354122004,1.04411412914905,"Trailing Edge N","Trailing Edge N"
"USA","Before Warming","scale(Year)",0.763486854116975,0.172603555581355,4.4233553100655,0.000578246676491861,0.393289045818803,1.13368466241515,"COG_East","COG_East"
"USA","Before Warming","scale(Year)",0.949693930147933,0.083700759102281,11.3463000853722,1.91311938693929e-08,0.770173656256745,1.12921420403912,"COG_North","COG_North"
"USA","During Warming","scale(log10(Total_Abundance))",-0.682766915117016,0.182659064177909,-3.73793065342765,0.00179286512751739,-1.06998683321856,-0.29554699701547,"AOvsAbd","AOvsAbd"
"USA","During Warming","scale(Year)",-0.762459001090053,0.161759132597042,-4.71354531177795,0.000234259011493068,-1.10537304347996,-0.419544958700151,"COG_North","COG_North"
"USA","During Warming","scale(Year)",-0.661159842834186,0.187561267027516,-3.52503399722284,0.00281091474768901,-1.05877196673447,-0.263547718933902,"COG_East","COG_East"
"USA","During Warming","scale(Year)",-0.237368040630469,0.242854948128411,-0.977406647300258,0.342915749715179,-0.75219753210999,0.277461450849053,"Deepening","Deepening"
"USA","During Warming","scale(Year)",-0.148350774571714,0.24723370114175,-0.600042687896574,0.556881454771396,-0.672462807768194,0.375761258624766,"Abundance","Abundance"
"USA","During Warming","scale(Year)",0.334841054267806,0.235568656178091,1.421415988444,0.174394242177252,-0.164542188294558,0.83422429683017,"Trailing Edge N","Trailing Edge N"
"USA","During Warming","scale(Year)",0.413082221689363,0.227673433634145,1.81436285778146,0.0884166618112594,-0.0695638967635583,0.895728340142285,"Dist to Border","Dist to Border"
"USA","During Warming","scale(Year)",0.473345396027842,0.220219228278783,2.1494280936659,0.0472441496577772,0.00650148700923392,0.940189305046449,"Trailing Edge E","Trailing Edge E"
"USA","During Warming","scale(Year)",0.719320129328639,0.173669684952252,4.14188653319897,0.000766244472727106,0.351156843884275,1.087483414773,"Area Occupied","Area Occupied"
