"Year","Season","Depth_Mean","Depth_Median","Depth_Q5","Depth_Q95","Period"
1990,"Fall",336.373637942685,148.71286,66.3734751284811,1315.50871753275,"Before Warming"
1990,"Spring",313.331604983882,143.70183,66.6260198658883,1283.37947552938,"Before Warming"
1990,"Summer",244.662548103602,132.468,69.6231045254867,1124.98702186197,"Before Warming"
1991,"Fall",324.214251176928,148.66989,67.3160709927736,1315.29043486581,"Before Warming"
1991,"Spring",361.690422724893,152.49924,64.2223419387065,1355.56277666555,"Before Warming"
1991,"Summer",288.85811634615,148.66989,65.4638644193056,1246.2864592645,"Before Warming"
1992,"Fall",328.505956320226,148.71286,66.662012646804,1315.40473557686,"Before Warming"
1992,"Spring",289.368597482229,144.37698,64.1486400305068,1246.03813941227,"Before Warming"
1992,"Summer",287.660322852684,136.68755,59.9542881167554,1246.16544411756,"Before Warming"
1993,"Fall",328.218872141949,148.13063,64.2194767995947,1318.80135287333,"Before Warming"
1993,"Spring",285.919304760107,146.13088,73.290340714872,1245.99462046291,"Before Warming"
1993,"Summer",276.458145599799,145.39875,70.0704077590805,1246.04333182998,"Before Warming"
1994,"Fall",357.371485318765,150.3121,64.2211217883386,1325.82935777363,"Before Warming"
1994,"Spring",335.923485847616,149.05865,71.6659375038811,1312.90595745288,"Before Warming"
1994,"Summer",325.487883017062,148.71286,60.7946783738742,1316.32791348248,"Before Warming"
1995,"Fall",331.912757759976,149.05865,62.765087863205,1317.19325627048,"Before Warming"
1995,"Spring",445.184672677264,159.58378,70.2864815968462,1466.25317165194,"Before Warming"
1995,"Summer",305.393506973535,149.05865,69.6269779429092,1246.12461650926,"Before Warming"
1996,"Fall",314.959342140587,148.2568,65.5556018308243,1312.5107231261,"Before Warming"
1996,"Spring",299.429486916625,148.27341,72.0229000391805,1246.60143232426,"Before Warming"
1996,"Summer",310.511646290937,148.71286,65.360287296391,1252.21831700267,"Before Warming"
1997,"Fall",316.974020281038,145.75463,66.6393817700692,1308.20663931333,"Before Warming"
1997,"Spring",299.979657055882,148.71286,73.284218418056,1245.54106561217,"Before Warming"
1997,"Summer",297.834096455925,136.68755,60.8076904325656,1246.3478384547,"Before Warming"
1998,"Fall",306.208560196158,145.75463,69.5147558680379,1307.96735306157,"Before Warming"
1998,"Spring",284.077631566406,143.70183,69.6369033259868,1243.89836283137,"Before Warming"
1998,"Summer",288.468715291443,143.19907,69.6583594643444,1246.70610991008,"Before Warming"
1999,"Fall",319.270825565713,148.71286,60.7711678661082,1313.71552328335,"Before Warming"
1999,"Spring",272.091809507259,152.49924,69.6603969575023,1205.87344038811,"Before Warming"
1999,"Summer",273.911994345812,143.70183,64.9257818751885,1245.87977255857,"Before Warming"
2000,"Fall",320.151906258813,144.37698,64.2165558381861,1318.10981970629,"Before Warming"
2000,"Spring",294.958481399954,148.2568,70.2449815895542,1246.20726489034,"Before Warming"
2000,"Summer",285.456628370723,132.468,60.8330049928308,1246.53039547256,"Before Warming"
2001,"Fall",303.947896627894,143.19907,67.9590101485447,1307.72688832455,"Before Warming"
2001,"Spring",325.6935980732,148.71286,66.9491610968027,1320.34672519811,"Before Warming"
2001,"Summer",268.755322853632,132.468,70.3694683116417,1245.93653801202,"Before Warming"
2002,"Fall",294.737750904646,141.25736,64.1644300651277,1246.5240594344,"Before Warming"
2002,"Spring",291.862235995498,145.39875,71.5429950105994,1245.86044649988,"Before Warming"
2002,"Summer",334.494524313793,148.13063,58.5906058748753,1452.87219136239,"Before Warming"
2003,"Fall",307.356713681007,141.74271,65.5019223810995,1312.60389106633,"Before Warming"
2003,"Spring",271.374043591299,136.68755,77.5313183509622,1226.6014538237,"Before Warming"
2003,"Summer",298.894263678202,147.47673,65.695700305005,1246.35941483821,"Before Warming"
2004,"Fall",311.810267195041,136.68755,64.1942346989933,1315.75294346248,"Before Warming"
2004,"Spring",275.149002928342,134.83132,68.2490601283099,1245.54226210803,"Before Warming"
2004,"Summer",322.797379932021,133.87537,65.3431001023683,1314.66202360378,"Before Warming"
2005,"Fall",280.02070889967,136.68755,70.3779035626079,1246.48417617667,"Before Warming"
2005,"Spring",270.480977443514,136.68755,73.2825521314442,1245.82860551876,"Before Warming"
2005,"Summer",254.428509489617,133.81701,75.6644334002772,1130.6798018748,"Before Warming"
2006,"Fall",300.990073542474,136.68755,64.1957782777802,1309.44130892753,"During Warming"
2006,"Spring",310.892270054664,149.71831,72.9472779126502,1312.95327485129,"During Warming"
2006,"Summer",286.617512484866,133.87537,66.6518300211336,1246.45469899685,"During Warming"
2007,"Fall",288.401051601297,140.56067,65.4848199841741,1246.48699934935,"During Warming"
2007,"Spring",290.51566496096,148.2568,70.2485373287551,1246.06338118077,"During Warming"
2007,"Summer",245.905993368546,133.87537,68.2612132215276,1126.20794313417,"During Warming"
2008,"Fall",276.177378737689,134.75941,61.8228021865577,1246.19139252298,"During Warming"
2008,"Spring",252.675573969329,133.87537,70.3692820432104,1127.96060138639,"During Warming"
2008,"Summer",267.510481301708,133.87537,64.1542881749137,1245.56276687631,"During Warming"
2009,"Fall",279.325873987218,135.34977,62.7688055925791,1246.08320530633,"During Warming"
2009,"Spring",256.761408636299,136.68755,68.246402240162,1128.02716871902,"During Warming"
2009,"Summer",257.143351542583,133.87537,61.0265723431377,1130.95765676189,"During Warming"
2010,"Fall",262.695845988658,133.87537,61.0479384742347,1242.25486625979,"During Warming"
2010,"Spring",288.799338713972,145.39875,66.6419757156502,1245.91327516203,"During Warming"
2010,"Summer",242.74035701074,132.04642,64.1892160036315,1125.14784235281,"During Warming"
2011,"Fall",284.547447818427,133.87537,64.1401156461208,1246.57373351394,"During Warming"
2011,"Spring",260.381492379441,136.68755,61.8234479920727,1129.73324931947,"During Warming"
2011,"Summer",305.311465216125,133.87537,71.6665095031639,1322.25731793501,"During Warming"
2012,"Fall",273.068459250693,135.41215,61.3512887587901,1245.97976349476,"During Warming"
2012,"Spring",251.937572957177,131.20985,61.3102442158025,1125.33369517533,"During Warming"
2012,"Summer",233.227704597975,128.61068,65.33213637289,1118.29370898248,"During Warming"
2013,"Fall",276.725942074432,136.68755,59.8841670389802,1245.73684036893,"During Warming"
2013,"Spring",246.738319387458,133.87537,61.0211568328916,1060.48239457469,"During Warming"
2013,"Summer",255.227760599597,136.68755,58.5058887650189,1130.03269292927,"During Warming"
2014,"Fall",277.637898480462,141.25736,59.8811355899667,1245.91877411184,"During Warming"
2014,"Spring",238.63276864775,131.20985,60.7163241313068,1009.04285413995,"During Warming"
2014,"Summer",254.349002794565,128.61068,60.7193646695986,1129.47708257376,"During Warming"
2015,"Fall",283.037479423814,142.12096,59.953595281298,1245.95095539394,"During Warming"
2015,"Spring",247.86183333791,135.41215,61.8244774526114,1041.45547849929,"During Warming"
2015,"Summer",220.206573629898,131.96486,60.7265221885231,875.784646641686,"During Warming"
2016,"Fall",251.237900417699,133.87537,59.0023037110228,1055.76559574455,"During Warming"
2016,"Spring",249.071470605354,134.75941,62.7769762679849,1012.00255717981,"During Warming"
2016,"Summer",220.789050567386,126.81427,62.7739825247353,969.763997769616,"During Warming"
2017,"Fall",284.4681982232,142.46734,59.9674314009482,1245.66625345987,"During Warming"
2017,"Spring",260.230782233713,136.68755,60.9759677262884,1060.49620949802,"During Warming"
2017,"Summer",231.235318321132,131.96486,57.785627510834,928.184282464761,"During Warming"
2018,"Fall",304.172498100125,145.39875,59.8725999980506,1245.93245885283,"During Warming"
2018,"Spring",250.528375291539,133.87537,60.0088570626479,1060.86925004503,"During Warming"
2018,"Summer",279.591913028399,135.34977,61.01546044823,1245.79429219912,"During Warming"
2019,"Fall",288.668799262874,143.19907,60.7075881617421,1245.52335073504,"During Warming"
2019,"Spring",305.602626036167,146.13264,61.8208998655166,1246.7371043712,"During Warming"
2019,"Summer",245.085899054244,134.25694,59.8595006931639,981.303047418964,"During Warming"
2020,"Fall",275.776272610338,136.68755,59.9314147308853,1242.39984179689,"During Warming"
2020,"Spring",257.47246293549,133.81701,58.5333414952972,1124.21108024558,"During Warming"
2020,"Summer",255.52103456742,136.68755,58.9979825150297,1127.71020301785,"During Warming"
2021,"Fall",284.863053200306,144.37698,60.1227768794001,1245.90575711218,"During Warming"
2021,"Spring",266.506620032671,143.19907,60.0993563469987,1130.74678067782,"During Warming"
2021,"Summer",264.927789480935,141.25736,59.9012800284157,1127.76638415826,"During Warming"
2022,"Fall",282.766527700948,141.74271,59.3258206962374,1243.2048757682,"During Warming"
2022,"Spring",257.863104513859,135.34977,60.7348815489477,1124.19328655466,"During Warming"
2022,"Summer",273.338196508924,141.27824,59.8694385522181,1218.06470029021,"During Warming"
2023,"Fall",288.418369513174,144.37698,59.0562442686473,1245.90737117872,"During Warming"
2023,"Spring",257.712972602553,133.87537,58.6183242068579,1125.4678912682,"During Warming"
2023,"Summer",252.635468819677,133.87537,58.4892595994245,1126.89544139445,"During Warming"
