"Year","Season","Dist_Mean","Dist_Med","Dist_Q5","Dist_Q95"
1990,"Fall",518.355861688869,487.207476846949,32.7119020798869,1165.96648758281
1990,"Spring",469.081437387645,426.856424833363,43.548826591003,1217.46649496529
1990,"Summer",342.095985248105,371.568187737556,46.4377000920988,838.209255564382
1991,"Fall",416.582029299455,464.262067448867,32.6553729280534,1147.18839273744
1991,"Spring",513.199050425893,510.156377005066,17.8604434898382,1145.05641977262
1991,"Summer",508.414148702312,490.18730341067,31.4851433031571,1151.90134313695
1992,"Fall",508.073010041371,484.097973071267,30.0708345267044,1162.06256729203
1992,"Spring",417.400157662991,465.647598702123,51.4902097530523,1148.53206567072
1992,"Summer",406.252498560043,466.941136199571,30.8771671116679,850.140129299873
1993,"Fall",498.66750913579,480.269119131239,31.4060936363204,1119.97231309074
1993,"Spring",467.238588425586,440.006275561608,6.69809905208072,1080.95092477285
1993,"Summer",493.226672996557,463.024109475948,6.60462882087785,1093.15305516152
1994,"Fall",519.481032161008,500.329503469454,17.79820193708,1094.13869329527
1994,"Spring",500.087837097215,453.472888064316,10.3852925083985,1140.65401358264
1994,"Summer",430.882962670819,491.627227437728,7.61842798471804,1054.82620237616
1995,"Fall",536.757665868981,525.18696950153,2.16516074824452,1099.66770758602
1995,"Spring",518.904268813318,531.431990927261,3.38526582714654,946.470903681122
1995,"Summer",542.802874966028,536.929263401105,21.2948842017255,1074.43499141035
1996,"Fall",437.675776796644,502.567954025374,6.67941444667937,1102.72175699474
1996,"Spring",397.293508058649,438.681200198497,10.1349552176585,1026.05570340704
1996,"Summer",518.655036941953,486.23506848428,28.3851408205595,1073.18195357858
1997,"Fall",519.088072476942,489.203826653251,30.3252678473783,1119.31149736998
1997,"Spring",526.895658761513,513.005669256316,14.46445506496,1051.37936950379
1997,"Summer",504.431420050701,463.075640639659,32.2755877760897,1116.58422376116
1998,"Fall",412.967649401843,481.677179824366,50.4887485110497,1094.9423555907
1998,"Spring",406.028042990772,439.930760056211,32.0394624284202,1073.5569218086
1998,"Summer",381.972002213518,432.202511980324,30.4758330548885,861.483912614796
1999,"Fall",444.640566862825,518.813332135877,27.5810981388864,1120.56770366259
1999,"Spring",516.502213510377,538.017182993303,26.5092984402132,1066.44343123815
1999,"Summer",413.268685526574,392.92642770371,30.3181248132637,1146.04308930101
2000,"Fall",429.390170396919,490.090694290919,26.0486392398884,1119.79091999826
2000,"Spring",521.879466909164,507.334028821916,8.84748848751961,1140.48066569709
2000,"Summer",395.476539325335,442.60586290029,15.3311323034191,1050.15735963428
2001,"Fall",412.423115599876,462.406164943607,28.6580767751535,1097.96136098329
2001,"Spring",415.238331620396,484.788559716906,30.3288327161359,1097.58757447083
2001,"Summer",350.122944198298,336.455049946624,26.7004624834125,866.480974844244
2002,"Fall",426.328060062883,463.97073254435,29.9065449802481,1175.82520191005
2002,"Spring",411.830203317697,437.59956542004,29.8549470486576,1117.62744211664
2002,"Summer",395.089867456173,451.023966549403,30.5812719769828,960.826284187256
2003,"Fall",404.293258806573,484.257099657468,72.2703131630573,1118.08241772552
2003,"Spring",349.539595417102,331.047791639821,30.5322949281431,880.709567832451
2003,"Summer",389.279958874676,442.679527427939,72.5065200922069,1078.68766781188
2004,"Fall",393.743272770101,462.104735790712,73.6217844122468,1094.33313660641
2004,"Spring",394.636503412702,374.005422220276,50.74691022985,1167.7301876792
2004,"Summer",385.687781458063,437.59956542004,50.6945118581375,1080.48309691411
2005,"Fall",364.415566238724,402.273252743312,30.6347746096308,1058.93022229398
2005,"Spring",367.715183662643,430.654695000038,28.5351920085253,1101.66996526899
2005,"Summer",331.841224589993,239.453401184825,31.6803550108995,853.181744757955
2006,"Fall",404.135629658323,456.326550708653,30.7679584860066,1144.53804010986
2006,"Spring",366.884625424306,480.663474055541,50.1169493938877,752.838406977333
2006,"Summer",372.55006128499,406.25596649201,30.7609960782254,1038.40298437172
2007,"Fall",416.868908319077,467.200005815053,30.5276908918304,1167.42003656508
2007,"Spring",405.106757617917,433.360090029534,47.8067030202089,1191.10419722791
2007,"Summer",367.004280649144,362.280266240009,32.0005231864544,1117.07353949131
2008,"Fall",401.45560015527,390.949523099666,72.9912011162816,1282.84693689368
2008,"Spring",389.640900753645,371.093539332702,50.7991059354402,1169.70107890504
2008,"Summer",383.983463590523,430.553716926965,50.8595523489167,1141.91397046601
2009,"Fall",400.652661547365,377.308807833874,83.4210444063945,1185.576790673
2009,"Spring",394.617999270728,372.578510440812,29.6124657054492,1141.6653064237
2009,"Summer",374.861342685202,415.873518060252,50.8878929197829,1118.83995782547
2010,"Fall",400.607976798659,375.871219076366,73.0721548716142,1190.8891905483
2010,"Spring",407.004729272799,395.439443948949,87.6055861113661,1260.08692134586
2010,"Summer",371.106423497841,341.098053328966,52.1228533910137,1145.72320291024
2011,"Fall",421.016748240186,496.280812218343,73.3209319069506,1193.6787906147
2011,"Spring",443.312080389132,497.176032351695,72.5774931075965,1234.81465291471
2011,"Summer",356.636980907073,375.061667825869,8.15334176081879,857.10677725751
2012,"Fall",434.825436215136,518.343006647688,21.8445673442158,1233.19569543246
2012,"Spring",432.16571869687,397.802025685807,90.4922984649193,1381.05258284583
2012,"Summer",365.111947064872,346.889853901399,69.4665992681593,1030.4764939729
2013,"Fall",504.923600631184,590.252288645953,18.6615455061325,1288.62705545079
2013,"Spring",453.599508236528,516.347161029356,71.5202787853331,1219.66204609421
2013,"Summer",449.37533572373,441.387938801171,60.3796546350407,1241.67073286911
2014,"Fall",516.034854233828,615.876495133553,5.53213411186811,1247.43186484946
2014,"Spring",453.52238888701,436.052949730551,21.6871894230067,1188.24960252533
2014,"Summer",510.250315467999,604.225107432747,17.765365407734,1266.68063602886
2015,"Fall",520.550990106948,613.692286264536,21.3737675238125,1278.86266017824
2015,"Spring",491.870047402496,569.000316628617,3.93206249587534,1241.02773085155
2015,"Summer",430.941384809589,432.712883196671,14.1180646694348,1212.92813837376
2016,"Fall",527.900928736005,608.474761675417,34.903244306797,1324.34568658582
2016,"Spring",611.468243829381,594.488684742666,2.70604883958999,1304.65776342628
2016,"Summer",428.262245431371,434.850244250146,2.71123373091363,984.267151271014
2017,"Fall",646.057114156606,630.292141816519,37.8923590474532,1291.11074469601
2017,"Spring",636.554705705251,608.76910959269,29.828007565453,1494.79425205987
2017,"Summer",510.230342729373,456.849912830232,7.97860393304595,1239.15399581816
2018,"Fall",692.941283323771,668.630267383376,52.1001047087365,1292.70780575835
2018,"Spring",640.164954020775,635.007378477716,31.1486603039834,1295.04512717332
2018,"Summer",628.784169616952,617.118102860529,49.8743336388543,1293.10683365694
2019,"Fall",684.208479983451,652.502681208979,53.8166588678253,1336.58159848553
2019,"Spring",670.138798036137,633.63118793697,52.3101007395334,1301.46511085122
2019,"Summer",469.882713860134,459.103239823092,7.75036770169751,1235.8269966425
2020,"Fall",648.726959329911,634.482608946393,50.8324359010058,1293.14172539348
2020,"Spring",660.528318056359,621.675994042931,18.5518604585579,1342.73903437827
2020,"Summer",493.395939400057,596.099173435333,4.7295822785992,1144.83097604474
2021,"Fall",543.458137305456,632.906672686391,29.7525892500848,1299.74119438394
2021,"Spring",522.666817561325,628.801175820212,6.09707813553073,1197.58729912472
2021,"Summer",722.848916910713,679.487646700383,54.9376834954759,1340.55175019699
2022,"Fall",710.859432948308,673.476944945072,55.431000975951,1337.31726289953
2022,"Spring",654.488260548159,645.820207256682,18.8485574761808,1303.22405097494
2022,"Summer",686.049200884633,666.515462929755,52.2430038469123,1329.47206904428
2023,"Fall",693.318761566809,668.641701168109,45.9828897381776,1315.31316436634
2023,"Spring",632.535394836084,613.692286264536,18.1933930933538,1296.48750029326
2023,"Summer",505.716013397875,616.394511271525,27.4586308211447,1270.1145682022
