"Year","Season","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
1990,"Fall",-61.4560000806526,43.9044100548597,43.7261316421547,-61.759329923165,42.3642791901289,-67.7889792736982,46.9342124361708,-52.1738362361666
1990,"Spring",-62.0269649481325,43.7396902698359,43.4877716886565,-62.3930134539518,42.1846541399667,-67.7836237343777,46.0905385159542,-52.7753656181083
1990,"Summer",-62.8975241240824,43.6884211079858,43.4259208499538,-63.0992154560931,42.1591869457519,-67.7976117097678,46.7657613869109,-56.4993528007201
1991,"Fall",-61.8258946841604,43.8961812973695,43.6477844561215,-62.0113315055629,42.3779630492999,-67.7953070948747,46.9706974053229,-52.4294162597618
1991,"Spring",-61.4951490963675,43.8671771724192,43.8100984869354,-61.4686266179469,42.3814645937845,-67.581175587015,46.0903319726757,-53.8339347985126
1991,"Summer",-61.6249567702233,43.9172450165172,43.816813260347,-61.7948034218285,42.375137839392,-67.7825159473175,46.9365301272591,-52.3607576817767
1992,"Fall",-61.6070989108951,43.8933465015869,43.7118732600672,-61.7948034218285,42.4020879492132,-67.7836178426848,46.7233089852623,-52.1928557485713
1992,"Spring",-61.7974002427037,43.9455368546108,43.7941418228841,-62.1040755604935,42.3642837092818,-68.0494951882707,47.1571031705548,-52.448061332103
1992,"Summer",-61.9656827435192,43.8800742727662,43.8100984869354,-62.1040755604935,42.4028341742997,-67.7981073673836,46.090595968271,-56.1882870447585
1993,"Fall",-61.7217062840252,43.871924808851,43.6644239317582,-61.7948034218285,42.3842538021577,-67.7821606966085,46.7314930263211,-52.7491326814681
1993,"Spring",-62.0702482352518,43.7706421030525,43.6641186526927,-62.3534737957797,42.3771759207045,-67.4389961213553,45.8629118908502,-54.601503630694
1993,"Summer",-61.7667759783508,43.8353188643851,43.7245948940368,-62.0850976578281,42.3747867756671,-67.4356968420879,46.5387643194418,-53.0737879369143
1994,"Fall",-61.4261521190071,43.8976177058448,43.6967837738585,-61.4853239199267,42.4046253980715,-67.1186103612443,46.5264711921452,-53.059167595472
1994,"Spring",-61.6907067607423,43.8546795597109,43.5777358118476,-62.1040755604935,42.3794397163066,-67.4737624058943,46.7628675929734,-52.4810341259476
1994,"Summer",-61.6197935243774,43.9571108762614,43.757152453289,-61.7246635209633,42.4084547365249,-67.4736854006784,46.9642198566962,-53.6567990808505
1995,"Fall",-61.2610070481919,43.9986258957967,43.822684568829,-61.2234051432512,42.4065029199102,-67.3945184999974,46.9705076440184,-53.0610360941705
1995,"Spring",-61.3024620875115,43.8005351055066,43.5777358118476,-60.8230713394237,42.4051314469684,-67.3192075447921,46.0906097292878,-54.9334889889003
1995,"Summer",-61.116088453677,43.9707680743727,43.9047082774828,-61.1295245563184,42.3824700705984,-67.051502774146,46.7655238385802,-53.3565247367943
1996,"Fall",-61.5290401102296,43.9673122270663,43.762644348651,-61.5365919831884,42.4043485701401,-67.433778240257,47.1852647414799,-53.0672512651245
1996,"Spring",-62.1095254154927,43.8124306662613,43.6477844561215,-62.3534737957797,42.381922305897,-67.4736753993907,46.7462926655683,-53.9932678400452
1996,"Summer",-61.4429474610071,43.8990376805989,43.7261316421547,-61.7769644029032,42.4029374025079,-67.7553365276523,46.7627217776693,-53.3725948421123
1997,"Fall",-61.5017776317553,43.9450477202926,43.7507963745797,-61.759329923165,42.4034924485028,-67.7897433820104,46.9896593127853,-52.8035315244543
1997,"Spring",-61.3346933810234,43.9263502812013,43.822684568829,-61.4358040740824,42.403311507711,-67.1677834529106,46.9540680682271,-53.7004828867215
1997,"Summer",-61.6725394772917,43.9097603470717,43.7395572478361,-62.1040755604935,42.3791137194132,-67.7902192648563,46.7646413924548,-52.7991748080581
1998,"Fall",-61.8727221131748,43.8959072567509,43.7395572478361,-61.8495763306765,42.4046436600054,-68.0469916814693,46.5397374835384,-53.0504236736295
1998,"Spring",-61.97952682743,43.8522982841766,43.6808649508325,-62.3731300161606,42.3849383895659,-67.794302096401,46.760160295054,-53.3671728325506
1998,"Summer",-62.3186168613799,43.7918804300388,43.5777358118476,-62.3930134539518,42.4023468835177,-67.790799566008,46.7460578494496,-56.1820341064558
1999,"Fall",-61.4218270718674,44.0230864540276,43.884642179298,-61.4196736731849,42.4086441214261,-67.7492726138804,46.7397150331053,-52.7425692072456
1999,"Spring",-61.5432252042841,43.9541758436076,43.999399316882,-61.2396974260259,42.4076377608956,-67.7407845082602,46.2961609862649,-53.3934460172965
1999,"Summer",-61.8284778237572,44.010147162117,43.8696153760247,-62.1426958681828,42.4048269864892,-67.7913235766418,47.1725448531027,-52.4845918718088
2000,"Fall",-61.630180848079,43.9833277118039,43.7381127259811,-61.7246635209633,42.4089471230014,-67.7346917034661,46.9905941526223,-52.797338046049
2000,"Spring",-61.4782737691787,43.9635974657193,43.822684568829,-61.5365919831884,42.4043652064132,-67.2433284390147,46.7628332130872,-52.4833172000625
2000,"Summer",-62.0871337937251,43.9273185825227,43.7261316421547,-62.3731300161606,42.4091312027882,-67.5812313869295,46.7391340290806,-53.6728550587858
2001,"Fall",-61.8750550462921,43.9084932267512,43.6967837738585,-62.0850976578281,42.4036952252175,-67.7613110186928,46.9539935157308,-53.0804059091039
2001,"Spring",-61.8174797663694,43.9677572307385,43.6961248423044,-61.759329923165,42.4074219920262,-67.7947413110324,46.9830128971632,-53.0912667102804
2001,"Summer",-62.7217946924953,43.8243049038309,43.4259208499538,-63.5738378798616,42.4051094941625,-67.7407125453482,46.9895735825643,-56.189570680391
2002,"Fall",-61.6772129731692,43.9605599597854,43.7864722131965,-62.1232739409559,42.4037408445938,-67.7830037783508,46.9877740638699,-52.052213013018
2002,"Spring",-61.892487839525,43.8825922396054,43.6477844561215,-62.3731300161606,42.4045383653571,-67.7831740775895,46.8007633756512,-52.7913768051359
2002,"Summer",-62.1065110772315,43.8899723084939,43.5152410465888,-62.0850976578281,42.4051442697885,-67.7960879974467,46.933463289689,-54.9045332954696
2003,"Fall",-61.9655662864371,43.94800655649,43.8100984869354,-61.8682624101155,42.4093807296267,-68.3541280105424,46.7743683655782,-52.7809729233425
2003,"Spring",-62.7399033977888,43.8023602293752,43.5986658466598,-63.0992154560931,42.4038992325468,-67.7937185263865,46.5213553909674,-55.8692806702965
2003,"Summer",-62.1480432034236,43.9793992095117,43.7270355196086,-62.3731300161606,42.4058832385585,-68.3534413137513,47.1697201104002,-53.3857061563987
2004,"Fall",-62.1149638137796,43.9131431567954,43.7261316421547,-62.1040755604935,42.4067775122954,-68.363081467684,46.5214318961978,-53.0559348024923
2004,"Spring",-62.0790491861618,43.9790339294012,43.7261316421547,-62.4540586027298,42.4047883247287,-68.0518851836653,47.1656185240503,-52.193405745859
2004,"Summer",-62.2313545443439,43.882983665703,43.6477844561215,-62.3731300161606,42.406363078451,-68.0532666169702,46.774524069077,-53.2781311350203
2005,"Fall",-62.5228823237754,43.8493528493367,43.5277346166715,-62.7651812668103,42.4043494648146,-67.7959839393414,46.5144904258703,-53.5198056857949
2005,"Spring",-62.4947542064595,43.8155558481853,43.6477844561215,-62.4748827549834,42.4042505720018,-67.7599278034374,45.860233704925,-54.2925435047827
2005,"Summer",-63.0741794905491,43.6218816734316,43.2636539283769,-64.7898249326857,42.3725461058773,-67.7824028027882,46.3152789816501,-56.1883556331357
2006,"Fall",-61.9778220916052,43.9201778999415,43.6477844561215,-62.1232739409559,42.4052149401187,-67.7992513977573,46.7465274144301,-52.427296923776
2006,"Spring",-62.4838995528595,43.8647598498739,43.7270355196086,-61.8495763306765,42.4086055479647,-68.046167541681,46.0769580579419,-57.4569411433359
2006,"Summer",-62.4226887259667,43.8352312018203,43.4861555163602,-62.6796956012579,42.404431004785,-67.7981710757274,46.9561190204984,-53.8739155966
2007,"Fall",-61.7981504805697,43.9629421308023,43.7507963745797,-62.047791307037,42.4058285912021,-67.7960514581506,46.9317725459019,-52.1541546586743
2007,"Spring",-61.9425520538009,43.9833884131407,43.6477844561215,-62.4334745319668,42.3863531856093,-68.0160521021733,47.2145274110636,-51.8910495375099
2007,"Summer",-62.5070609979564,43.8089939682965,43.5019195519284,-63.292094655699,42.3868099352297,-67.7961978964966,46.7649298603819,-52.7927577069746
2008,"Fall",-61.9841770286628,43.9990500275316,43.884642179298,-62.1623444722698,42.4097465493463,-68.3561573679912,46.5508570849836,-52.1568577339147
2008,"Spring",-62.150792515273,43.9590195457119,43.762644348651,-62.4748827549834,42.4057633579567,-68.0542651885569,46.761901681533,-52.0975944322331
2008,"Summer",-62.2593882108199,43.8685907934906,43.6465468348908,-62.4748827549834,42.4042406903194,-68.0531072517167,46.7599504442,-52.4639555377464
2009,"Fall",-61.994720397305,43.9984548878393,43.8515841551556,-62.3534737957797,42.4086538026526,-68.5285791506445,46.7648651798246,-51.8886291727822
2009,"Spring",-62.0786447360444,43.9808441091497,43.8100984869354,-62.4334745319668,42.4059682108592,-67.7809385845554,46.7392987529637,-52.4641126781384
2009,"Summer",-62.3602036862795,43.9123976507654,43.6644239317582,-62.6796956012579,42.4035386392453,-68.0525778266552,46.9375195533986,-52.7997413987844
2010,"Fall",-61.9799691004626,44.0443325948873,43.8494819654558,-62.3731300161606,42.4093096697977,-68.3569668936953,46.9365886739679,-51.843915346755
2010,"Spring",-61.9266129154895,43.9590949613356,43.884642179298,-62.1040755604935,42.4308225080176,-68.6160639460151,46.5142356282291,-52.4639780064788
2010,"Summer",-62.4385907997867,43.8420261041157,43.4877716886565,-63.5738378798616,42.3872503158561,-68.05038781786,46.9558187754173,-52.4461723992199
2011,"Fall",-61.7194031480008,44.0399081744004,43.884642179298,-61.759329923165,42.4091191400601,-68.3610994750705,46.7601559868776,-51.781168886961
2011,"Spring",-61.4209258471756,44.0832167364534,43.8957137833756,-61.759329923165,42.4048653525702,-68.3532757067984,46.9641434512599,-51.2662882653608
2011,"Summer",-62.6961102160832,43.7022694931926,43.34465037464,-62.9860213397406,42.4023383095452,-67.473256516446,46.5397566874226,-56.1861241436171
2012,"Fall",-61.5099331418481,44.1533548628834,43.9477346156943,-61.5193038664516,42.5861134577886,-67.797148598412,46.9704966198679,-51.2886714911944
2012,"Spring",-61.5761309881245,44.0410155678539,43.9028818421393,-62.0663372236763,42.4311699205048,-68.6592720825561,46.7628043987548,-50.8759574690341
2012,"Summer",-62.4298256670473,44.064839448646,43.8696153760247,-62.7434383636367,42.4086584986093,-68.3113261404468,46.9905526992831,-53.9877185102014
2013,"Fall",-60.5837659947534,44.305372578181,44.1866782209727,-60.5827523953298,42.6025158153343,-67.7617524417342,47.2127107393641,-50.589903819962
2013,"Spring",-61.2663049133871,44.1697995462183,43.9477346156943,-61.5365919831884,42.4313879134641,-68.3605450432244,46.989635612469,-51.4709477625315
2013,"Summer",-61.2853091518634,44.3233361421201,44.1177133451741,-61.4358040740824,42.5812114386435,-68.353436774343,47.2145651524344,-51.2160320278956
2014,"Fall",-60.4330397516955,44.3581473345216,44.2331108835562,-60.209694788847,42.6264142036877,-67.4737122630109,47.2098380106867,-51.1383645223733
2014,"Spring",-61.2665245494167,44.1728297862657,44.064296996241,-61.5193038664516,42.5627836295874,-67.8003602273657,46.9896344880749,-51.8876224574
2014,"Summer",-60.5267066448664,44.2532134258763,44.0914132429116,-60.2334906045168,42.6250937983534,-67.7823927318633,46.989681609796,-50.8479243392752
2015,"Fall",-60.377459679074,44.3487187639842,44.2128741257617,-60.2215240774618,42.5850965753813,-67.7857119010342,47.2145407548527,-50.7202653590644
2015,"Spring",-60.7621737343339,44.2436752160865,44.0914132429116,-60.8230713394237,42.4311331203546,-67.437975985696,47.2098342212336,-51.2237604817616
2015,"Summer",-61.5368435294253,44.2439030823379,44.0914132429116,-61.5540826018336,42.5810973546738,-67.6998849128974,47.1836875621741,-51.5937469311616
2016,"Fall",-60.284109328335,44.3496436022488,44.2128741257617,-60.3082807641177,42.6072403751838,-67.0533086379668,47.2126314558672,-50.114416621541
2016,"Spring",-60.3196327063773,44.262716749055,44.2115947817603,-60.5425161742107,42.577387209824,-67.4732126861838,46.5404335687916,-51.8305654741429
2016,"Summer",-61.5931850603359,44.1552451585345,44.1177133451741,-61.5193038664516,42.5778503266751,-67.4734587576676,46.9877476267831,-54.6049824369513
2017,"Fall",-59.9235814650959,44.4113587398768,44.2597944582447,-60.0037383321294,42.6069670601104,-67.019691137297,47.2155214197361,-50.557276788611
2017,"Spring",-59.8909226810948,44.2505033883775,44.1447014795214,-60.2215240774618,42.5780546833432,-67.1020061137256,47.0528923464604,-49.4251752072215
2017,"Summer",-60.50523627566,44.3660696979977,44.2435869694219,-61.2073015915637,42.653413852541,-67.4734423780674,46.9905961366316,-51.2127191761433
2018,"Fall",-59.1757960171438,44.4202134983166,44.2666148227242,-59.3967535798024,42.6528029919202,-66.8564003238641,47.2128030522547,-50.5355740161908
2018,"Spring",-59.9618528706006,44.3618389835997,44.2577075338675,-59.9243259044931,42.4318590728762,-67.8004746922131,47.2148577373996,-50.5047755137988
2018,"Summer",-60.037225464795,44.2672368570517,44.1600273728763,-60.1028849068022,42.580220436559,-66.828886230342,47.210048342387,-50.5298226933892
2019,"Fall",-59.3105381289591,44.4168763777201,44.2597944582447,-59.6447721745882,42.6052818230033,-66.7945250469545,47.4282142947281,-49.9854595291673
2019,"Spring",-59.4564403788347,44.3448785416248,44.2287471061146,-59.9134993716449,42.6330238502525,-66.8399713351269,47.2097977629223,-50.4185025777457
2019,"Summer",-61.0245893650994,44.3251945877596,44.1266927144558,-61.2073015915637,42.4067161574374,-67.4731934794358,47.4276949136337,-51.335903854093
2020,"Fall",-59.8837389037362,44.4150425718042,44.2597944582447,-59.9352783663674,42.6052145186769,-66.8321301908058,47.2155473772678,-50.5302327168756
2020,"Spring",-59.6979234143705,44.4220719409024,44.2128741257617,-60.0899681621822,42.470520697264,-67.1661640984098,47.4395238026927,-49.9049821951929
2020,"Summer",-60.7330797643518,44.2901427993556,44.2227785687512,-60.5294115509759,42.5629353295773,-67.4351725375835,46.9905876490114,-52.4643991945395
2021,"Fall",-60.0616808343012,44.5149366365858,44.2666148227242,-59.9689090351735,42.6072105573841,-67.1273157364792,47.4396135989329,-50.4808584944904
2021,"Spring",-60.3539371321106,44.3305265492528,44.2287471061146,-59.9919922206209,42.4318679514001,-67.4738375923791,47.2099891274897,-51.803541748844
2021,"Summer",-58.896364963913,44.6026608381399,44.3504851169803,-59.3142729578036,42.6329517470937,-66.7990187826889,47.4395392472827,-49.9342600843854
2022,"Fall",-59.0420423120137,44.5609715646802,44.2858521485587,-59.3408063900826,42.6607105844894,-66.8195965428495,47.4394931087527,-49.9775469784963
2022,"Spring",-59.7843292954535,44.4113144529321,44.2597944582447,-59.7517969293841,42.4318376677405,-67.1304082060667,47.2148415815012,-50.3958704237894
2022,"Summer",-59.3673647139228,44.4955073581094,44.2725784784078,-59.4363229533285,42.6171895884605,-66.8245849708993,47.2704351708941,-50.0548432549301
2023,"Fall",-59.3174274965656,44.5557068108709,44.2853225636869,-59.4163021840795,42.7316169496513,-67.02023251246,47.4371507255907,-50.2717708345492
2023,"Spring",-60.0036045445407,44.2910197588581,44.2128741257617,-60.2215240774618,42.5330105600457,-67.2266198970342,47.1809035733769,-50.4802779841302
2023,"Summer",-60.5467942982839,44.4635519217931,44.2597944582447,-60.2334906045168,42.6061104521509,-67.1699636728864,47.4327874536824,-50.8767686374738
